coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N/A,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
apis,4 Mar 2018,3 Apr 2018,30.0,65.0,7,blockchain,21,N/A,N/A,N/A,N/A,N/A,0,N/A,0.0,4766240,1.44,2.49,4.99,4.99,-6.189,nan,0.092
libra-credit,01 May 2018,01 Jun 2018,31.0,6.0,7,fintech,10,26400000.0,26400000.0,1.0,0.1,96901,N/A,N/A,1.986,4569100,-1.08,-1.86,-3.73,-3.73,-0.689,nan,-0.027
skrumble-network,05 May 2018,07 May 2018,2.0,31.0,12,fintech,31,16472800.0,16472800.0,1.0,0.0515,54602,N/A,2016,0.873,32789700,-0.17,-1.35,-2.69,-2.69,-0.854,nan,-0.016
pundi-x,21 Jan 2018,21 Jan 2018,0.0,137.0,12,saas,4,35000000.0,35000000.0,1.0,2.1,23178,N/A,5627,-1.0,970635,-0.19,0.29,4.53,4.53,-0.669,nan,0.037
educoin,18 Mar 2018,25 Mar 2018,7.0,74.0,7,social services,4,N/A,N/A,N/A,N/A,373,1,7,0.0,4,0.22,0.16,2.51,2.51,14.705,nan,0.744
bankera,27 Nov 2017,27 Feb 2018,92.0,100.0,5,fintech,7,150949194.0,215641706.0,0.7,0.02,20616,N/A,25421,-0.481,2604320,-6.25,-10.82,-21.65,-21.65,-2.2,nan,-0.086
bezant,,11 May 2018,8.0,27.0,7,blockchain,32,27500000.0,39855072.0,0.69,0.1,5329,N/A,1917,1.1,1779890,-0.11,-0.88,-1.75,-1.75,-0.323,nan,-0.012
crowd-machine,01 Apr 2018,22 May 2019,416.0,-349.0,7,saas,13,30638000.0,100000000.0,0.30638,N/A,6055,N/A,5214,0.0,220487,-0.28,-2.2,-4.39,-4.39,0.474,nan,-0.012
gems,30 Jan 2018,01 Feb 2018,2.0,126.0,12,fintech,2,N/A,N/A,N/A,0.075,32582,2,19555,-0.689,4746,-0.07,0.01,0.16,0.16,-0.958,nan,0.159
phantasma,27 May 2018,28 May 2018,1.0,10.0,12,other,13,9650000.0,9747475.0,0.99,0.23,20891,N/A,5379,1.476,799685,0.33,0.57,1.14,1.14,-1.687,nan,0.012
aware,04 Jan 2018,30 Jan 2018,26.0,128.0,12,fintech,N/A,N/A,N/A,N/A,0.063,593,1,N/A,0.495,1391910,-0.31,-0.19,-2.96,-2.96,-0.013,nan,-0.003
cfun,18 Dec 2017,19 Dec 2017,1.0,170.0,7,saas,9,15000000.0,15000000.0,1.0,0.03,4567,1,5559,2.506,14156000,-0.17,-0.18,-2.79,-2.79,0.077,nan,-0.006
exchange-union,05 Aug 2017,29 Aug 2017,24.0,282.0,12,other,4,N/A,N/A,N/A,1.0,N/A,N/A,N/A,1.29,304953,0.19,0.19,3.0,3.0,-0.115,nan,0.01
key,23 Sep 2017,23 Oct 2017,30.0,227.0,12,fintech,N/A,21780000.0,N/A,N/A,0.01,N/A,2,N/A,0.063,496995,-0.18,-1.41,-2.81,-2.81,0.205,nan,-0.006
silent-notary,15 Mar 2018,12 Apr 2018,28.0,56.0,2,blockchain,4,N/A,N/A,N/A,0.0,30710,0,6825,0.0,339139,1.69,2.92,5.85,5.85,-1.712,nan,0.094
patron,27 Mar 2018,9 May 2018,43.0,29.0,8,saas,26,40000000.0,40000000.0,1.0,0.5,14469,0,21693,-0.864,933787,0.29,0.5,1.01,1.01,-2.776,nan,0.008
stockchain,16 Mar 2018,19 Mar 2018,3.0,80.0,7,other,18,2693450.0,N/A,N/A,N/A,87153,1,55766,0.0,271642,0.31,-0.03,-0.52,-0.52,-0.165,nan,-0.004
seele,03 Apr 2018,03 Apr 2018,0.0,65.0,12,blockchain,N/A,12133800.0,12133800.0,1.0,0.0324,28796,N/A,N/A,8.3,1750560,-0.72,-1.25,-2.51,-2.51,-1.246,nan,-0.008
spindle,9 May 2018,15 May 2018,6.0,23.0,4,blockchain,12,N/A,N/A,N/A,0.23,30156,N/A,24252,-0.905,2379600,-0.07,-0.12,-0.25,-0.25,-2.206,nan,0.007
sphre-air,1 Jun 2017,30 Jun 2017,29.0,342.0,4,saas,4,5272732.0,N/A,N/A,0.19,N/A,1,N/A,-0.222,10531,0.17,0.13,2.1,2.1,-0.119,nan,0.004
blockcdn,25 Nov 2016,25 Dec 2016,30.0,529.0,12,other,1,N/A,N/A,N/A,N/A,N/A,1,N/A,0.0,31955,0.47,0.11,1.7,1.7,0.088,nan,0.006
cryptaur,27 Nov 2017,12 Mar 2018,105.0,87.0,7,saas,12,12000000.0,N/A,N/A,0.01,1848,N/A,1742,-0.606,165405,8.25,14.29,28.57,28.57,-1.0,nan,0.04
blockmesh,28 Feb 2018,31 Mar 2018,31.0,68.0,12,blockchain,13,3486451.0,9961289.0,0.35,0.05,5087,0,13260,-0.289,87339,-1.44,-2.49,-4.98,-4.98,0.679,nan,-0.033
shopin,30 Mar 2018,15 Apr 2018,16.0,53.0,1,other,11,42546499.0,50054705.0,0.85,0.1,N/A,N/A,1643,-0.68,70971,-0.13,-0.23,-0.45,-0.45,5.357,nan,-0.003
amon,4 Mar 2018,4 Apr 2018,31.0,64.0,5,other,8,1332600.0,26652000.0,0.05,0.05,6980,2,2482,0.264,152217,-0.43,-3.39,-6.78,-6.78,-1.531,nan,-0.045
xyo-network,20 Mar 2018,21 May 2018,62.0,17.0,1,other,25,11951000.0,47804000.0,0.25,0.01,16378,0,7339,-0.398,245464,-0.39,-0.67,-1.34,-1.34,-1.077,nan,-0.02
contractnet,10 Mar 2018,20 Mar 2018,10.0,79.0,3,other,10,2661505.0,N/A,N/A,N/A,N/A,N/A,1223,0.0,294035,-0.98,-1.69,-3.39,-3.39,-0.156,nan,-0.031
etherecash,15 Nov 2017,12 Dec 2017,27.0,177.0,12,fintech,8,40000000.0,100000000.0,0.4,1.0,N/A,10,1185,-0.216,248868,-0.15,-0.12,-1.95,-1.95,-0.543,nan,0.003
hero,14 Sep 2017,14 Oct 2017,30.0,236.0,5,entertainment,13,36416517.0,173411986.0,0.21,0.04,1959,0,4525,7.513,88370,-0.26,-0.46,-0.92,-0.92,-1.39,nan,-0.02
budbo,29 Jan 2018,5 Mar 2018,35.0,94.0,7,blockchain,33,30000000.0,52631579.0,0.57,0.35,3308,3,5298,-0.666,67317,0.1,0.81,1.63,1.63,0.244,nan,0.023
indicoin,30 Sep 2017,1 Nov 2017,32.0,218.0,12,blockchain,9,23000.0,N/A,N/A,0.02,N/A,1,22459,0.711,60496,0.16,0.05,0.73,0.73,-0.932,nan,0.028
utrum,20 May 2018,20 Jun 2018,31.0,-13.0,12,other,7,N/A,5000000.0,N/A,0.12,7401,1,1336,-0.249,21504,0.13,1.04,2.09,2.09,0.192,nan,0.007
zengold,26 May 2017,9 Jun 2017,14.0,363.0,3,saas,0,1908960.0,3030095.0,0.63,0.03,N/A,1,N/A,10.473,13093,0.18,0.17,2.64,2.64,0.919,nan,0.157
minex,15 May 2017,13 Jun 2017,29.0,359.0,2,blockchain,9,78985.0,N/A,N/A,6.18,N/A,1,10915,-0.89,8495,0.01,0.06,1.02,1.02,-0.008,nan,0.022
stex,25 Nov 2017,10 Dec 2017,15.0,179.0,2,blockchain,5,6700350.0,55836250.0,0.12,1.0,8067,0,937,-0.835,3009,0.22,0.13,2.02,2.02,-2683.618,nan,88.282
smoke,20 Apr 2018,25 May 2018,35.0,13.0,10,telecommunications,6,25000.0,2500000.0,0.01,0.1,N/A,1,12153,-0.949,1761,0.03,0.12,1.88,1.88,0.97,nan,0.132
anryze,12 Sep 2017,12 Oct 2017,30.0,238.0,2,blockchain,13,1759099.0,6065859.0,0.29,0.02,1018,1,N/A,0.291,670261,0.23,0.14,2.27,2.27,-0.006,nan,0.015
sisa,20 Nov 2017,20 Dec 2017,30.0,169.0,12,fintech,5,N/A,N/A,N/A,0.23,719,1,2981,-0.488,32828,-0.02,0.09,1.49,1.49,-0.047,nan,0.029
ox-fina,1 Jul 2017,31 Jul 2017,30.0,311.0,10,blockchain,N/A,N/A,N/A,N/A,0.07,N/A,1,866,-0.505,14630,0.2,0.09,1.39,1.39,-0.442,nan,0.048
fapcoin,15 Sep 2017,31 Oct 2017,46.0,219.0,12,entertainment,N/A,N/A,N/A,N/A,0.3,N/A,1,N/A,-0.463,32723,0.1,0.08,1.3,1.3,0.255,nan,0.035
plexcoin,20 Sep 2017,01 Oct 2017,11.0,249.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,0.0,27979,0.04,0.07,1.16,1.16,-0.598,nan,0.01
solomonexchange,N/A,27 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
hackspacecapital,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
impakfinance,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
modum.io,N/A,22 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
detectortoken,N/A,20 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
silentnotary,N/A,18 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
intelligenttradingtech,N/A,17 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
kybernetwork,N/A,16 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
kickico,N/A,16 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
smartinvestmentfundtoken,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
trackr,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
facecoin,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
icobox,N/A,15 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
social(scl),N/A,14 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
enigmacatalyst,N/A,12 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
ahoolee,N/A,11 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
stuffgogo,N/A,11 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
prospector,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
onegram,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
filecoin,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
alpencoin,N/A,10 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
hubii,N/A,07 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
worldwideanonymousmessaging,N/A,06 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
indorse,N/A,06 Sep 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
finshicapital,N/A,31 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
moeda,N/A,31 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
xplay,N/A,30 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
paquarium,N/A,24 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
monsterbyte,N/A,04 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
coindash,N/A,04 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
district0xnetwork,N/A,01 Aug 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
11.97,N/A,31 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
rootproject,N/A,28 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
geofounders,N/A,26 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
primalbase,N/A,26 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
eros,N/A,23 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
gilgam,N/A,20 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
gilgam.es,N/A,20 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
coindash,N/A,17 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
sumerchain,N/A,17 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
bitquence,N/A,16 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
orocrypt,N/A,14 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
fuck,N/A,13 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
tezos,N/A,13 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
insurex,N/A,13 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
nimiq,N/A,12 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
leviarcoin,N/A,09 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
onplace,N/A,06 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
santiment,N/A,05 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
openanx,N/A,04 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
crypviser,N/A,04 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
rialto.ai,N/A,03 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
encryptotel,N/A,01 Jul 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
dcorp,N/A,29 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
air,N/A,29 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
21million,N/A,28 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
silvercoin,N/A,27 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
idice,N/A,26 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
nvo,N/A,25 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
masknetwork,N/A,24 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
footballcoin,N/A,23 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
internetofcoins,N/A,21 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
bidlend,N/A,14 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
superdao,N/A,13 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
aira,N/A,11 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
embermine,N/A,02 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
adel,N/A,01 Jun 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
basicattentiontoken,N/A,31 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
exscudo,N/A,31 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
mysteriumnetwork,N/A,30 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
e4row,N/A,22 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
vivacoin,N/A,21 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
bitcoingrowthfund,N/A,17 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
legendsroom,N/A,15 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
nexxus,N/A,08 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
quantumresistantledger,N/A,07 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
creativechain,N/A,01 May 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
apptrade,N/A,30 Apr 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
backtoearth,N/A,28 Apr 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
iex.ec,N/A,19 Apr 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
blockchaincapital,N/A,10 Apr 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
cosmosnetwork,N/A,06 Apr 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
cosmos,N/A,05 Apr 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
equibit,N/A,31 Mar 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
chainofpoints,N/A,31 Mar 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
cashscripter,N/A,30 Mar 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
augmentors,N/A,28 Feb 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
lykke(2ndround),N/A,27 Feb 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
contingency,N/A,27 Feb 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0
